"SITENAME","Year","per_C","error_C","per_H","error_H","per_N","error_N","per_P","error_P"
"TS/Ph10","2009",11.9566666666667,0.00239522643160897,0.483333333333333,0.000971638480216895,0.373333333333333,0.000971638480216897,0.00397764646817565,0.000146226763611152
"TS/Ph10","2010",12.2133333333333,0.00474666874739863,NA,0,0.376666666666667,0.00111111111111111,0.00171169262508384,3.74786602470742e-05
"TS/Ph10","2011",12.18,0.01092906420717,0.276666666666667,0.0215237451420117,0.743333333333333,0.0315103353610827,0.00122212915211775,1.39157393318002e-05
"TS/Ph10","2012",12.01,0.00666666666666662,0.35,0.00192450089729875,0.366666666666667,0.00146986183948033,0.00576411342609495,6.73699703059809e-05
"TS/Ph10","2013",12.1033333333333,0.0169512736693248,0.426666666666667,0.000555555555555556,0.43,0.00288675134594813,0.00280682177452177,3.82601721908913e-05
"TS/Ph10","2014",12.15,0.00866025403784437,0.423333333333333,0.00309320242379446,0.403333333333333,0.00146986183948033,0.00718991994705843,2.04573856694404e-05
"TS/Ph10","2015",11.9,0.00585314097380705,0.5,0.00166666666666667,0.423333333333333,0.000555555555555556,0.00669052134089319,5.61449377865123e-05
"TS/Ph10","2016",12.44,0.0117062819476142,0.39,0.00288675134594813,0.606666666666667,0.00111111111111111,0.00575935443954714,9.72324019802039e-05
"TS/Ph10","2017a",11.8966666666667,0.0367171369819074,0.43,0.0133333333333333,0.426666666666667,0.00384900179459751,NA,NA
"TS/Ph10","2017b",12.2433333333333,0.0583412693014447,0.45,0.00577350269189626,0.41,0.00666666666666666,NA,NA
"TS/Ph10","2018",12.2766666666667,0.00987577157479515,0.42,0.000962250448649377,0.4,0.0053575837561072,0.00485503757536606,2.22273612627336e-05
"TS/Ph10","2019",12.1966666666667,0.0112354157867537,0.413333333333333,0.00337931251683234,0.373333333333333,0.000555555555555556,0.000696478979943227,5.46548076249276e-06
"TS/Ph10","2020",12.14,0.00346944333244358,0.4,0.000962250448649375,0.36,0,0.000474203954551128,4.1233100740253e-06
"TS/Ph10","2021",12.3066666666667,0.0171143575563882,0.366666666666667,0.00728604280478,0.4,0.00481125224324688,0.00182661685392406,0.000200024260937028
"TS/Ph10","2022",12.1333333333333,0.00924628720949631,0.536666666666667,0.00293972367896065,0.396666666666667,0.000555555555555556,0.00229208205804124,0.000286184847956182
"TS/Ph11","2008",11.6366666666667,0.00146986183948039,0.29,0.00192450089729875,0.31,0.00192450089729875,0.00380742809505157,0.000140777033017995
"TS/Ph11","2009",11.7633333333333,0.00448510809524123,0.433333333333333,0.000538968055636296,0.383333333333333,0.000712987719910832,0.00534314919645993,0.000139254234406772
"TS/Ph11","2010",11.94,0.0242861033271049,NA,0,0.36,0.00346944333244356,0.00605017661313416,0.000382305233667487
"TS/Ph11","2011",12.0066666666667,0.0105993244601882,0.346666666666667,0.00242161052418926,0.686666666666667,0.00364302140239,0.00980753265702615,0.000772270480183075
"TS/Ph11","2012",11.8666666666667,0.0240434277870916,0.326666666666667,0.0163959495148597,0.39,0.00866025403784439,0.0178858291572327,0.00063948073601175
